case_id,file,bytes,last_write_time,copied_to_export
batch2_h0225_mu0720,GaugesVel_V02.csv,551347,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V03.csv,564113,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V04.csv,529193,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V05.csv,565618,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V06.csv,533580,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V07.csv,360222,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V08.csv,496876,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V09.csv,470964,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V10.csv,500363,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V11.csv,440676,2026-05-04T17:06:39,False
batch2_h0225_mu0720,GaugesVel_V12.csv,367688,2026-05-04T17:06:39,False
batch2_h0225_mu0720,Run.csv,1081,2026-05-04T17:06:39,True
batch2_h0225_mu0720,RunPARTs.csv,2551,2026-05-04T17:06:39,True
batch2_slope10_mu0600,ChronoBody_forces.csv,1562512,2026-05-05T00:55:20,False
batch2_slope10_mu0600,ChronoExchange_mkbound_51.csv,1646827,2026-05-05T00:55:20,False
batch2_slope10_mu0600,GaugesMaxZ_hmax01.csv,336909,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax02.csv,300958,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax03.csv,363023,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax04.csv,352466,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax05.csv,388173,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax06.csv,363355,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax07.csv,340045,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesMaxZ_hmax08.csv,340045,2026-05-05T00:55:22,False
batch2_slope10_mu0600,GaugesVel_V01.csv,592494,2026-05-05T00:55:22,False
