dam_height,friction_coefficient,boulder_mass,pred_margin_train_pct_deq,pred_std_pct_deq,u_value,min_scaled_distance_to_existing,pred_class
0.2075,0.71,1.1,-0.022975713781624663,3.9641562835778865,0.005795864778792707,0.14691905122364732,FALLO
0.18,0.685,0.85,-0.04497067388202991,7.754739214010728,0.00579912136835939,0.21575088158933323,FALLO
0.185,0.655,0.95,0.04868288569514423,8.325760934064853,0.0058472596175506725,0.23630756013250742,ESTABLE
0.1825,0.725,1.25,0.057978141018566465,9.91136038778346,0.005849665308308563,0.37963969441808193,ESTABLE
0.1875,0.83,1.025,-0.060104355870862936,10.01321486478534,0.006002503360058022,0.3489549710196259,FALLO
0.195,0.85,1.1,-0.059175288373848556,9.845991150005396,0.006010089535151584,0.39875454895388796,FALLO
0.2225,0.895,1.25,-0.05622456008335641,9.16068357318969,0.006137594387377497,0.2838501968575247,FALLO
0.1875,0.84,0.975,0.06100156007123525,9.910327625954698,0.00615535251442836,0.3694258439149177,ESTABLE
0.175,0.74,0.875,-0.05547378237812062,8.940282674881455,0.0062049248771488055,0.35843231445901047,FALLO
0.185,0.685,0.925,0.0539387787831731,8.533493276927867,0.006320832164830066,0.2745405488735291,ESTABLE
0.18,0.79,0.975,0.06181744405439771,9.712196938766278,0.006364929010824187,0.34435088249751367,ESTABLE
0.19,0.765,1.2,0.0625277836490814,9.77423866096724,0.006397202464349011,0.3436931771216878,ESTABLE
0.185,0.79,1.125,-0.06521177931627342,10.165821050546468,0.006414806929221081,0.44562038808476473,FALLO
0.19,0.79,1.15,0.063709287888714,9.898428501533688,0.006436303285803022,0.380356780242993,ESTABLE
0.1875,0.825,1.025,0.06428959207229079,9.959492541624147,0.0064551072058737936,0.33921294130703955,ESTABLE
0.2,0.87,1.125,0.06464593180073619,9.853597267700257,0.00656064278298005,0.38545755963116957,ESTABLE
0.185,0.82,0.95,-0.06564387317272935,10.005202659816396,0.006560973865763496,0.38472398320431617,FALLO
0.185,0.815,1.025,-0.06638703815427904,10.087209592912604,0.006581308491985415,0.3611851227647315,FALLO
0.18,0.58,0.85,0.038275005923252614,5.717954248194663,0.006693828642530768,0.10107553104376236,ESTABLE
0.2225,0.765,1.125,-0.023989751487205613,3.5730190747166115,0.006714140334977531,0.10868681794248837,FALLO
0.205,0.805,1.25,0.058454289143447635,8.703066316178186,0.006716516572415387,0.30002883367780253,ESTABLE
0.1925,0.79,1.175,-0.06537059797736111,9.731868299789474,0.00671716837544632,0.3620463095749167,FALLO
0.1875,0.59,1.1,-0.05976415179634875,8.885685751982583,0.006725890771346194,0.2931048739410993,FALLO
0.1875,0.81,1.075,0.06831011734416625,9.997129897781557,0.006832972867474492,0.3588845476084347,ESTABLE
0.1825,0.785,1.125,-0.06954079833570548,10.1450961142008,0.0068546219328920405,0.45638077592045634,FALLO
0.1925,0.84,1.075,0.06803143398356815,9.784343673319185,0.006953091209283187,0.3573869809495711,ESTABLE
0.2025,0.805,1.225,0.06113430039909584,8.757166371625544,0.006981059603614775,0.27417795505485526,ESTABLE
0.185,0.755,1.2,0.070973064513292,10.061906395051048,0.007053639909450267,0.3927902360677678,ESTABLE
0.1875,0.62,1.05,-0.06059138371348771,8.589376935692007,0.00705422339328261,0.2856312441111034,FALLO
0.175,0.785,1.025,-0.0665222981626079,9.425597096809943,0.007057621652968284,0.3150844685450855,FALLO
0.1975,0.775,0.9,-0.03078134392050247,4.360857360931085,0.007058553255207434,0.135429919056974,FALLO
0.205,0.6,1.175,-0.04141735823073045,5.85717790779214,0.007071213967331176,0.13178185615803334,FALLO
0.195,0.87,1.075,-0.07066461145434522,9.977643211421444,0.007082294882367421,0.4093211370703877,FALLO
0.195,0.655,1.025,0.03954675561887244,5.578884343197314,0.007088649483670909,0.131781856158034,ESTABLE
0.2025,0.82,1.2,0.06385537649718875,8.845643755673624,0.007218850121137254,0.26318599604103277,ESTABLE
